assessmentId,internalTaxonId,scientificName,code,name
576736,151923,Pediocactus paradinei,SH,Succulent - shrub
610853,152215,Echinocereus chisosensis,SH,Succulent - shrub
642048,152484,Sclerocactus nyensis,SH,Succulent - shrub
1017558,163990,Eleocharis palustris,H,Hydrophyte
1017558,163990,Eleocharis palustris,GR,Graminoid
1021826,164064,Phalaris arundinacea,GR,Graminoid
1021826,164064,Phalaris arundinacea,F,Forb or Herb
1023200,164118,Leersia oryzoides,F,Forb or Herb
1025862,164156,Alopecurus aequalis,A,Annual
1025862,164156,Alopecurus aequalis,GR,Graminoid
1027583,164175,Ranunculus sceleratus,F,Forb or Herb
1029195,164189,Potamogeton perfoliatus,H,Hydrophyte
1029195,164189,Potamogeton perfoliatus,F,Forb or Herb
1034194,164247,Eleocharis acicularis,GE,Geophyte
1036377,164272,Brachiaria mutica,GR,Graminoid
1036377,164272,Brachiaria mutica,F,Forb or Herb
1036571,164276,Bolboschoenus maritimus,F,Forb or Herb
1040462,164311,Nasturtium officinale,F,Forb or Herb
1042718,164335,Myriophyllum verticillatum,H,Hydrophyte
1043245,164340,Arundo donax,GR,Graminoid
1043245,164340,Arundo donax,F,Forb or Herb
1044291,164347,Epilobium hirsutum,F,Forb or Herb
1048733,164411,Persicaria lapathifolia,F,Forb or Herb
1051649,164450,Epilobium parviflorum,F,Forb or Herb
1056668,164512,Catabrosa aquatica,GR,Graminoid
1057132,164521,Potentilla supina,A,Annual
1057746,164522,Paspalidium geminatum,GR,Graminoid
1057746,164522,Paspalidium geminatum,F,Forb or Herb
1178323,167856,Elatine triandra,F,Forb or Herb
1178985,167870,Hippuris vulgaris,H,Hydrophyte
1178985,167870,Hippuris vulgaris,F,Forb or Herb
1179645,167888,Nuphar pumila,H,Hydrophyte
1179645,167888,Nuphar pumila,F,Forb or Herb
1180709,167903,Potamogeton friesii,F,Forb or Herb
1193038,168634,Veronica peregrina,F,Forb or Herb
1213531,168711,Najas gracillima,H,Hydrophyte
1213531,168711,Najas gracillima,A,Annual
1217340,168729,Poa annua,A,Annual
1217340,168729,Poa annua,GR,Graminoid
1219085,168737,Epilobium palustre,F,Forb or Herb
1220938,168748,Beckmannia syzigachne,GR,Graminoid
1220938,168748,Beckmannia syzigachne,F,Forb or Herb
1220938,168748,Beckmannia syzigachne,A,Annual
1232630,168798,Drosera rotundifolia,PT,Fern
1257878,168960,Plantago major,F,Forb or Herb
1260955,168983,Paspalum scrobiculatum,GR,Graminoid
1260955,168983,Paspalum scrobiculatum,F,Forb or Herb
1266611,169030,Paspalum distichum,GR,Graminoid
1266611,169030,Paspalum distichum,F,Forb or Herb
1267310,169043,Brachiaria reptans,GR,Graminoid
1267901,169055,Fimbristylis quinquangularis,GR,Graminoid
1268828,169061,Azolla microphylla,PT,Fern
1270473,169072,Nelumbo lutea,F,Forb or Herb
1270473,169072,Nelumbo lutea,H,Hydrophyte
1420606,175246,Schoenoplectus tabernaemontani,GE,Geophyte
1423029,175559,Persicaria maculosa,A,Annual
1423029,175559,Persicaria maculosa,F,Forb or Herb
1467909,177124,Najas guadalupensis,F,Forb or Herb
1467909,177124,Najas guadalupensis,H,Hydrophyte
1468608,177137,Pteris vittata,E,Epiphyte
1468608,177137,Pteris vittata,F,Forb or Herb
1468608,177137,Pteris vittata,PT,Fern
1726149,181378,Sclerocactus brevispinus,SH,Succulent - shrub
2242484,193533,Acer circinatum,SL,Shrub - large
2242484,193533,Acer circinatum,TS,Tree - small
2284337,193830,Acer macrophyllum,TL,Tree - large
2285894,193849,Acer pensylvanicum,TS,Tree - small
2285894,193849,Acer pensylvanicum,SL,Shrub - large
2286184,193853,Acer platanoides,TL,Tree - large
2287111,193860,Acer rubrum,TL,Tree - large
2287256,193862,Acer saccharinum,T,Tree - size unknown
2287256,193862,Acer saccharinum,TL,Tree - large
2287314,193863,Acer saccharum,TL,Tree - large
2289975,193896,Magnolia acuminata,TL,Tree - large
2291599,193941,Magnolia fraseri,TL,Tree - large
2291865,193948,Magnolia grandiflora,T,Tree - size unknown
2294339,194013,Magnolia tripetala,T,Tree - size unknown
2294401,194015,Liriodendron tulipifera,TL,Tree - large
2294506,194018,Magnolia virginiana,T,Tree - size unknown
2295175,194049,Quercus agrifolia,SL,Shrub - large
2295175,194049,Quercus agrifolia,TL,Tree - large
2295175,194049,Quercus agrifolia,TS,Tree - small
2295211,194050,Quercus ajoensis,SS,Shrub - small
2295268,194051,Quercus alba,TL,Tree - large
2295645,194058,Quercus arizonica,TL,Tree - large
2296028,194067,Quercus austrina,TS,Tree - small
2296028,194067,Quercus austrina,TL,Tree - large
2296058,194068,Quercus berberidifolia,SL,Shrub - large
