assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
576736,151923,Pediocactus paradinei,5.2.1,Intentional use (species is the target),"","",,,,,,,Ongoing,
576736,151923,Pediocactus paradinei,4.1,Roads & railroads,"","",,,,,,,Ongoing,
576736,151923,Pediocactus paradinei,7.1.2,Supression in fire frequency/intensity,"","",,,,,,,Ongoing,
610853,152215,Echinocereus chisosensis,5.2.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
610853,152215,Echinocereus chisosensis,8.1.2,Named species,1.2|2.3.2|2.3.8,Ecosystem degradation|Competition|Other,,Cenchrus ciliaris,,,,,Ongoing,
642048,152484,Sclerocactus nyensis,3.2,Mining & quarrying,1.2|2.1,Ecosystem degradation|Species mortality,,,,,,,Ongoing,
1213531,168711,Najas gracillima,7.2.4,Abstraction of surface water (unknown use),1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,,,,Ongoing,
1213531,168711,Najas gracillima,9.1.1,Sewage,1.2|2.1,Ecosystem degradation|Species mortality,,,,,,,Ongoing,
1213531,168711,Najas gracillima,9.1.2,Run-off,1.2|2.1,Ecosystem degradation|Species mortality,,,,,,,Ongoing,
1213531,168711,Najas gracillima,9.3.1,Nutrient loads,1.2|2.1,Ecosystem degradation|Species mortality,,,,,,,Ongoing,
1213531,168711,Najas gracillima,8.1.1,Unspecified species,"","",,,,,,Competition from exotic aquatic plants such as Myriophyllum spicatum and Egeria densa.,Ongoing,
1268828,169061,Azolla microphylla,4.1,Roads & railroads,"","",,,,Minority (<50%),Unknown,,Ongoing,
1726149,181378,Sclerocactus brevispinus,5.2.1,Intentional use (species is the target),2.1,Species mortality,,,,,,,Ongoing,
1726149,181378,Sclerocactus brevispinus,3.1,Oil & gas drilling,1.2|2.1,Ecosystem degradation|Species mortality,,,,,,,Ongoing,
1726149,181378,Sclerocactus brevispinus,6.1,Recreational activities,"","",,,,,,,Ongoing,
2284337,193830,Acer macrophyllum,11.1,Habitat shifting & alteration,1.1|2.1,Ecosystem conversion|Species mortality,,,,Unknown,Unknown,,Future,
2284337,193830,Acer macrophyllum,8.1.2,Named species,2.1,Species mortality,,Anoplophora glabripennis,,Unknown,Unknown,,Unknown,
2285894,193849,Acer pensylvanicum,8.1.2,Named species,2.1,Species mortality,,Anoplophora glabripennis,,Unknown,Unknown,,Future,
2285894,193849,Acer pensylvanicum,11.1,Habitat shifting & alteration,1.1|2.1,Ecosystem conversion|Species mortality,,,,Unknown,Unknown,,Future,
2286184,193853,Acer platanoides,8.2.2,Named species,2.1,Species mortality,,Anoplophora glabripennis,,Unknown,Unknown,,Ongoing,
2287111,193860,Acer rubrum,7.1.3,Trend Unknown/Unrecorded,"","",,,,Unknown,Unknown,,Ongoing,
2287111,193860,Acer rubrum,11.1,Habitat shifting & alteration,1.1,Ecosystem conversion,,,,Unknown,Unknown,,Future,
2287111,193860,Acer rubrum,8.1.2,Named species,2.1|2.2,Species mortality|Species disturbance,,Anoplophora glabripennis,,Unknown,Unknown,,Ongoing,
2287256,193862,Acer saccharinum,9.5.4,Type Unknown/Unrecorded,2.2,Species disturbance,,,,Unknown,Unknown,,Ongoing,
2287256,193862,Acer saccharinum,11.1,Habitat shifting & alteration,1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,Unknown,Unknown,,Future,
2287256,193862,Acer saccharinum,8.1.2,Named species,2.1,Species mortality,,Anoplophora glabripennis,,Unknown,Unknown,,Ongoing,
2287314,193863,Acer saccharum,11.5,Other impacts,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
2287314,193863,Acer saccharum,11.1,Habitat shifting & alteration,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
2287314,193863,Acer saccharum,9.5.1,Acid rain,1.1|1.2|2.2,Ecosystem conversion|Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
2287314,193863,Acer saccharum,8.1.2,Named species,2.1|2.2,Species mortality|Species disturbance,,Anoplophora glabripennis,,Minority (<50%),Unknown,,Ongoing,
2291865,193948,Magnolia grandiflora,7.1.3,Trend Unknown/Unrecorded,2.1,Species mortality,,,,,,,Unknown,
2291865,193948,Magnolia grandiflora,11.2,Droughts,"","",,,,,,,,
2295175,194049,Quercus agrifolia,2.3.3,"Agro-industry grazing, ranching or farming",2.1|2.2,Species mortality|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
2295175,194049,Quercus agrifolia,1.1,Housing & urban areas,1.1,Ecosystem conversion,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
2295175,194049,Quercus agrifolia,7.1.3,Trend Unknown/Unrecorded,2.2,Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
2295175,194049,Quercus agrifolia,5.3.2,Intentional use: (large scale) [harvest],2.1,Species mortality,,,No,Minority (<50%),Negligible declines,,Ongoing,
2295175,194049,Quercus agrifolia,2.1.3,Agro-industry farming,1.1,Ecosystem conversion,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
2295175,194049,Quercus agrifolia,8.4.2,Named species,2.1,Species mortality,,Phytophthora ramorum,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
2295211,194050,Quercus ajoensis,8.2,Problematic native species/diseases,2.3.1,Hybridisation,,,,Unknown,Unknown,,Ongoing,
2295211,194050,Quercus ajoensis,11.2,Droughts,1.2|2.1|2.2,Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,Unknown,,Ongoing,
2295268,194051,Quercus alba,7.1.2,Supression in fire frequency/intensity,2.3.2,Competition,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
2295268,194051,Quercus alba,8.2.2,Named species,2.1|2.2,Species mortality|Species disturbance,Wild,Odocoileus virginianus,,Unknown,Unknown,,Ongoing,
2295268,194051,Quercus alba,1.1,Housing & urban areas,1.1|2.1,Ecosystem conversion|Species mortality,,,,Unknown,Unknown,,Ongoing,
2296028,194067,Quercus austrina,2.1.2,Small-holder farming,1.1|2.1|2.2,Ecosystem conversion|Species mortality|Species disturbance,,,,Majority (50-90%),Rapid Declines,,"Past, Unlikely to Return",
2296028,194067,Quercus austrina,2.1.3,Agro-industry farming,1.2|2.3.2,Ecosystem degradation|Competition,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
2296028,194067,Quercus austrina,3.1,Oil & gas drilling,2.2,Species disturbance,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,
2296028,194067,Quercus austrina,5.3.1,Intentional use: (subsistence/small scale) [harvest],2.1,Species mortality,,,No,Unknown,"Slow, Significant Declines",,Ongoing,
2296028,194067,Quercus austrina,8.2.1,Unspecified species,2.3.1,Hybridisation,,,,Majority (50-90%),Negligible declines,,Ongoing,
2296028,194067,Quercus austrina,11.2,Droughts,2.1|2.2,Species mortality|Species disturbance,,,,Majority (50-90%),Causing/Could cause fluctuations,,Ongoing,
2296028,194067,Quercus austrina,6.1,Recreational activities,2.2|2.3.7,Species disturbance|Reduced reproductive success,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
2296058,194068,Quercus berberidifolia,8.2.2,Named species,2.3.1,Hybridisation,,Quercus dumosa,,,Negligible declines,,Ongoing,
2296058,194068,Quercus berberidifolia,8.2.2,Named species,2.3.1,Hybridisation,,Quercus garryana,,,Negligible declines,,Ongoing,
2296058,194068,Quercus berberidifolia,8.2.2,Named species,2.3.1,Hybridisation,,Quercus turbinella,,,Negligible declines,,Ongoing,
2296058,194068,Quercus berberidifolia,8.2.2,Named species,2.3.1,Hybridisation,,Quercus lobata,,,Negligible declines,,Ongoing,
2296058,194068,Quercus berberidifolia,8.2.2,Named species,2.3.1,Hybridisation,,Quercus engelmannii,,,Negligible declines,,Ongoing,
2296058,194068,Quercus berberidifolia,8.2.2,Named species,2.3.1,Hybridisation,,Quercus durata,,,Negligible declines,,Ongoing,
2296058,194068,Quercus berberidifolia,8.2.2,Named species,2.3.1,Hybridisation,,Quercus john-tuckeri,,,Negligible declines,,Ongoing,
2296216,194072,Quercus carmenensis,8.2.2,Named species,2.3.1,Hybridisation,,Quercus intricata,,Minority (<50%),"Slow, Significant Declines",,Ongoing,
2296216,194072,Quercus carmenensis,2.3.2,"Small-holder grazing, ranching or farming",1.2,Ecosystem degradation,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,
2296502,194076,Quercus chrysolepis,1.1,Housing & urban areas,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
2296502,194076,Quercus chrysolepis,7.1.2,Supression in fire frequency/intensity,2.1,Species mortality,,,,Unknown,Negligible declines,,Ongoing,
2296706,194079,Quercus coccinea,8.4.2,Named species,2.1,Species mortality,,Ceratocystis fagacearum,,Minority (<50%),Unknown,,Ongoing,
2301887,194127,Quercus falcata,8.4.2,Named species,2.1,Species mortality,,Ceratocystis fagacearum,,,,,Ongoing,
2302046,194130,Quercus fusiformis,5.3.3,Unintentional effects: (subsistence/small scale) [harvest],1.1|1.2,Ecosystem conversion|Ecosystem degradation,,,,,,,Ongoing,
2302046,194130,Quercus fusiformis,2.3.4,Scale Unknown/Unrecorded,1.2,Ecosystem degradation,,,,,,,Ongoing,
2302046,194130,Quercus fusiformis,8.2,Problematic native species/diseases,2.1|2.2,Species mortality|Species disturbance,,,,,,,Ongoing,
2302046,194130,Quercus fusiformis,8.4.2,Named species,2.1|2.2,Species mortality|Species disturbance,,Ceratocystis fagacearum,,,,,Ongoing,
2302183,194133,Quercus garryana,2.3.2,"Small-holder grazing, ranching or farming",2.2,Species disturbance,,,,Minority (<50%),Negligible declines,,Ongoing,
2302183,194133,Quercus garryana,8.2.2,Named species,2.1|2.2,Species mortality|Species disturbance,,Cydia latiferreana,,Unknown,Unknown,,Ongoing,
2302183,194133,Quercus garryana,8.2.2,Named species,2.1|2.2,Species mortality|Species disturbance,,Armillaria mellea,,Unknown,Unknown,,Ongoing,
2302183,194133,Quercus garryana,8.2.2,Named species,2.1|2.2,Species mortality|Species disturbance,,Lambdina fiscellaria,,Unknown,Unknown,,Ongoing,
2302183,194133,Quercus garryana,8.1.2,Named species,2.1|2.2,Species mortality|Species disturbance,,Pandemis cerasana,,Unknown,Unknown,,Ongoing,
2302375,194137,Quercus hemisphaerica,8.2.2,Named species,"","",,Phytophthora cinnamomi,,Unknown,Negligible declines,,Ongoing,
2303387,194186,Quercus laurifolia,8.4.1,Unspecified species,"","",,,,,,,Ongoing,
2303387,194186,Quercus laurifolia,8.4.2,Named species,"","",,Taphrina caerulescens,,,,,Ongoing,
2303635,194195,Quercus marilandica,8.4.1,Unspecified species,"","",,,,Minority (<50%),No decline,,Future,
2303665,194196,Quercus michauxii,8.2.2,Named species,"","",,Asterolecanium variolosus,,,,,Ongoing,
2303665,194196,Quercus michauxii,8.2.2,Named species,"","",,Callirhytis quercuspunctata,,,,,Ongoing,
