query_name,recordType,elementGlobalId,scientificName,primaryCommonName,classificationStatus,roundedGRank,gRank
Abies amabilis,SPECIES,143719,Abies amabilis,Pacific Silver Fir,Standard,G5,G5
Abies balsamea,SPECIES,152370,Abies balsamea,Balsam Fir,Standard,G5,G5
Abies concolor,SPECIES,137897,Abies concolor,White Fir,Standard,G5,G5
Abies fraseri,SPECIES,128167,Abies fraseri,Fraser Fir,Standard,G2,G2
Abies grandis,SPECIES,146468,Abies grandis,Grand Fir,Standard,G5,G5
Abies lasiocarpa,SPECIES,144815,Abies lasiocarpa,Subalpine Fir,Standard,G5,G5
Abies magnifica,SPECIES,142119,Abies magnifica,California Red Fir,Standard,G5,G5
Abies procera,SPECIES,159773,Abies procera,Noble Fir,Standard,G5,G5
Abutilon incanum,SPECIES,157692,Abutilon incanum,Hoary Indian-mallow,Standard,G5,G5?
Acacia auriculiformis,SPECIES,146783,Acacia auriculiformis,Ear-leaf Acacia,Standard,GNR,GNR
Acacia confusa,SPECIES,156145,Acacia confusa,Formosan Koa,Standard,GNR,GNR
Acacia koa,SPECIES,142452,Acacia koa,Koa,Standard,G4,G4?
Acanthocereus tetragonus,SPECIES,135685,Acanthocereus tetragonus,Triangle Cactus,Standard,G5,G5
Acer circinatum,SPECIES,140940,Acer circinatum,Vine Maple,Standard,G5,G5
Acer glabrum,SPECIES,138747,Acer glabrum,Mountain Maple,Standard,G5,G5
Acer grandidentatum,SPECIES,161573,Acer grandidentatum,Bigtooth Maple,Standard,G4,G4G5
Acer leucoderme,SPECIES,160863,Acer leucoderme,Chalk Maple,Standard,G5,G5
Acer macrophyllum,SPECIES,143337,Acer macrophyllum,Bigleaf Maple,Standard,G5,G5
Acer nigrum,SPECIES,138128,Acer nigrum,Black Maple,Standard,G5,G5
Acer pensylvanicum,SPECIES,145579,Acer pensylvanicum,Striped Maple,Standard,G5,G5
Acer rubrum,SPECIES,159330,Acer rubrum,Red Maple,Standard,G5,G5
Acer saccharinum,SPECIES,136917,Acer saccharinum,Silver Maple,Standard,G5,G5
Acer saccharum,SPECIES,145639,Acer saccharum,Sugar Maple,Standard,G5,G5
Acer spicatum,SPECIES,140241,Acer spicatum,Mountain Maple,Standard,G5,G5
Acorus calamus,SPECIES,134366,Acorus calamus,European Sweetflag,Standard,G4,G4?
Acrostichum aureum,SPECIES,160827,Acrostichum aureum,Golden Leather Fern,Standard,G5,G5
Acrostichum danaeifolium,SPECIES,134035,Acrostichum danaeifolium,Inland Leather Fern,Standard,G4,G4G5
Adenostoma sparsifolium,SPECIES,149415,Adenostoma sparsifolium,Ribbon-wood,Standard,G4,G4G5
Adiantum capillus-veneris,SPECIES,158611,Adiantum capillus-veneris,Southern Maidenhair Fern,Standard,G5,G5
Aeschynomene indica,SPECIES,146199,Aeschynomene indica,Indian Joint-vetch,Standard,G5,G5
Aesculus californica,SPECIES,153114,Aesculus californica,California Buckeye,Standard,G5,G5
Aesculus flava,SPECIES,158410,Aesculus flava,Yellow Buckeye,Standard,G5,G5
Aesculus glabra,SPECIES,135794,Aesculus glabra,Ohio Buckeye,Standard,G5,G5
Aesculus parviflora,SPECIES,149394,Aesculus parviflora,Small-flowered Buckeye,Standard,G3,G3
Aesculus pavia,SPECIES,142185,Aesculus pavia,Red Buckeye,Standard,G5,G5
Aesculus sylvatica,SPECIES,129561,Aesculus sylvatica,Painted Buckeye,Standard,G5,G5
Agave americana,SPECIES,148625,Agave americana,American Century Plant,Standard,GNR,GNR
Agave chrysantha,SPECIES,153399,Agave chrysantha,Golden Flower Agave,Standard,G4,G4G5
Agave deserti,SPECIES,133754,Agave deserti,Desert Agave,Standard,G4,G4
Agave lechuguilla,SPECIES,134977,Agave lechuguilla,Lecheguilla Agave,Standard,G5,G5
Agave mckelveyana,SPECIES,153612,Agave mckelveyana,Mckelvey's Agave,Standard,G4,G4
Agave palmeri,SPECIES,154952,Agave palmeri,Palmer's Agave,Standard,G4,G4?
Agave parryi,SPECIES,958964,Agave parryi,Parry's Agave,Standard,G5,G5
Agave parviflora,SPECIES,153004,Agave parviflora,Small-flower Agave,Standard,G3,G3
Agave schottii,SPECIES,133858,Agave schottii,Schott's Century Plant,Standard,G5,G5
Agave shawii,SPECIES,145119,Agave shawii,Shaw's Agave,Standard,G2,G2G3
Agave toumeyana,SPECIES,154970,Agave toumeyana,Toumey's Agave,Standard,G3,G3
Agave univittata,SPECIES,160129,Agave univittata,Thorn-crest Agave,Standard,G5,G5?
Agave utahensis,SPECIES,157120,Agave utahensis,Utah Agave,Standard,G4,G4
Ageratina havanensis,SPECIES,128250,Ageratina havanensis,Havana Thorough-wort,Standard,G5,G5
Agrostis canina,SPECIES,152742,Agrostis canina,Brown Bentgrass,Standard,G5,G5
Agrostis clavata,SPECIES,130390,Agrostis clavata,Clubbed Bent,Standard,G4,G4G5
Agrostis perennans,SPECIES,148858,Agrostis perennans,Perennial Bentgrass,Standard,G5,G5
Aldrovanda vesiculosa,SPECIES,935212,Aldrovanda vesiculosa,Waterwheel Plant,Provisional,GNR,GNR
Alisma plantago-aquatica,SPECIES,140234,Alisma plantago-aquatica,European Water-plantain,Standard,GNR,GNR
Alisma subcordatum,SPECIES,148655,Alisma subcordatum,Broadleaf Water-plantain,Standard,G5,G5
Alisma triviale,SPECIES,147119,Alisma triviale,Northern Water-plantain,Standard,G5,G5
Allium geyeri,SPECIES,136662,Allium geyeri,Geyer's Onion,Standard,G4,G4G5
Allium schoenoprasum,SPECIES,160634,Allium schoenoprasum,Wild Chives,Standard,G5,G5
Allium triquetrum,SPECIES,149898,Allium triquetrum,Triangle Onion,Standard,GNR,GNR
Allium validum,SPECIES,151987,Allium validum,Tall Swamp Onion,Standard,G4,G4
Alnus incana,SPECIES,161464,Alnus incana,Speckled Alder,Standard,G5,G5
Alnus maritima,SPECIES,154229,Alnus maritima,Seaside Alder,Standard,G3,G3
Alnus nepalensis,SPECIES,149446,Alnus nepalensis,Nepal Alder,Standard,GNR,GNR
Alnus rhombifolia,SPECIES,153451,Alnus rhombifolia,White Alder,Standard,G5,G5
Alnus rubra,SPECIES,136265,Alnus rubra,Red Alder,Standard,G5,G5
Alnus serrulata,SPECIES,138391,Alnus serrulata,Brookside Alder,Standard,G5,G5
Alopecurus aequalis,SPECIES,152667,Alopecurus aequalis,Short-awn Foxtail,Standard,G5,G5
Alopecurus carolinianus,SPECIES,151682,Alopecurus carolinianus,Tufted Foxtail,Standard,G5,G5
Alternanthera sessilis,SPECIES,129015,Alternanthera sessilis,Sessile Chaff-flower,Standard,G5,G5
Alvaradoa amorphoides,SPECIES,134250,Alvaradoa amorphoides,Mexican Alvaradoa,Standard,G5,G5
Amaranthus tuberculatus,SPECIES,159907,Amaranthus tuberculatus,Rough-fruit Amaranth,Standard,G4,G4G5
Amelanchier alnifolia,SPECIES,128031,Amelanchier alnifolia,Saskatoon Serviceberry,Standard,G5,G5
Amelanchier arborea,SPECIES,135581,Amelanchier arborea,Downy Serviceberry,Standard,G5,G5
Amelanchier bartramiana,SPECIES,138763,Amelanchier bartramiana,Bartram Shadbush,Standard,G5,G5
Amelanchier canadensis,SPECIES,149301,Amelanchier canadensis,Oblong-leaf Serviceberry,Standard,G5,G5
Amelanchier laevis,SPECIES,161261,Amelanchier laevis,Allegheny Serviceberry,Standard,G5,G5
Amelanchier sanguinea,SPECIES,133218,Amelanchier sanguinea,Roundleaf Shadbush,Standard,G5,G5
Amelanchier utahensis,SPECIES,160985,Amelanchier utahensis,Utah Serviceberry,Standard,G5,G5
Ammannia auriculata,SPECIES,128197,Ammannia auriculata,Wright's Ammannia,Standard,G5,G5
Ammannia robusta,SPECIES,154332,Ammannia robusta,Grand Redstem,Standard,G5,G5
Amyris balsamifera,SPECIES,158212,Amyris balsamifera,Balsam Torchwood,Standard,G4,G4
Amyris elemifera,SPECIES,149745,Amyris elemifera,Sea Torchwood,Standard,G5,G5
Andira inermis,SPECIES,140798,Andira inermis,Cabbage-bark Tree,Standard,G5,G5
Andromeda polifolia,SPECIES,148743,Andromeda polifolia,Bog Rosemary,Standard,G5,G5
Andropogon virginicus,SPECIES,136089,Andropogon virginicus,Broom-sedge,Standard,G5,G5
Angelica atropurpurea,SPECIES,147636,Angelica atropurpurea,Great Angelica,Standard,G5,G5
Aniseia martinicensis,SPECIES,133293,Aniseia martinicensis,Whitejacket,Standard,GNR,GNR
Apium graveolens,SPECIES,131636,Apium graveolens,Wild Celery,Standard,GNR,GNR
Aralia humilis,SPECIES,143584,Aralia humilis,Arizona Spikenard,Standard,G3,G3G4
Aralia spinosa,SPECIES,137301,Aralia spinosa,Hercules Club,Standard,G5,G5
