species,limit,n_records
Abies amabilis,50000,348
Abies balsamea,50000,5587
Abies bracteata,50000,96
Abies concolor,50000,2989
Abies fraseri,50000,304
Abies grandis,50000,5350
Abies lasiocarpa,50000,1233
Abies magnifica,50000,303
Abies procera,50000,1634
Abutilon eremitopetalum,50000,2
Abutilon incanum,50000,652
Abutilon menziesii,50000,12
Abutilon sandwicense,50000,7
Acacia amentacea,50000,45
Acacia aneura,50000,10154
Acacia auriculiformis,50000,4073
Acacia confusa,50000,709
Acacia koa,50000,201
Acacia koaia,50000,20
Acacia rigidula,50000,196
Acaciella angustissima,50000,3982
Acanthocereus tetragonus,50000,903
Acer circinatum,50000,3557
Acer drummondi,50000,0
Acer floridanum,50000,308
Acer glabrum,50000,5383
Acer grandidentatum,50000,765
Acer leucoderme,50000,147
Acer macrophyllum,50000,6425
Acer negundo,50000,38050
Acer nigrum,50000,987
Acer pensylvanicum,50000,4115
Acer platanoides,50000,50000
Acer rubrum,50000,11435
Acer saccharinum,50000,5834
Acer saccharum,50000,7522
Acer spicatum,50000,3133
Achillea millefolium,50000,50000
Achyranthes mutica,50000,3
Achyranthes splendens,50000,15
Acorus calamus,50000,37413
Acrostichum aureum,50000,1954
Acrostichum danaeifolium,50000,989
Adenophorus epigaeus,50000,5
Adenophorus periens,50000,1
Adenostemma viscosum,50000,415
Adenostoma sparsifolium,50000,552
Adiantum capillus-veneris,50000,17519
Aegilops ventricosa,50000,1056
Aeschynomene indica,50000,3669
Aesculus californica,50000,3729
Aesculus flava,50000,406
Aesculus glabra,50000,1214
Aesculus parviflora,50000,373
Aesculus pavia,50000,1998
Aesculus sylvatica,50000,221
Agave albomarginata,50000,41
Agave americana,50000,10708
Agave applanata,50000,111
Agave chrysantha,50000,214
Agave deserti,50000,1272
Agave lechuguilla,50000,777
Agave mckelveyana,50000,91
Agave palmeri,50000,738
Agave parryi,50000,743
Agave parviflora,50000,47
Agave schottii,50000,186
Agave shawii,50000,679
Agave simplex,50000,84
Agave toumeyana,50000,51
Agave univittata,50000,125
Agave utahensis,50000,338
Agrostis aequivalvis,50000,211
Agrostis canina,50000,50000
Agrostis clavata,50000,2738
Agrostis perennans,50000,2246
Agrostis stolonifera,50000,50000
Aldrovanda vesiculosa,50000,349
Alectryon macrococcus,50000,0
Aleurites moluccanus,50000,1031
Alisma plantago-aquatica,50000,50000
Alisma subcordatum,50000,621
Alisma triviale,50000,1448
Allium geyeri,50000,1010
Allium schoenoprasum,50000,30343
Allium triquetrum,50000,7288
Allium validum,50000,708
Alnus alnobetula,50000,21557
Alnus glutinosa,50000,50000
Alnus incana,50000,50000
Alnus maritima,50000,90
Alnus nepalensis,50000,650
Alnus oblongifolia,50000,174
Alnus rhombifolia,50000,1139
Alnus rubra,50000,1695
Alnus serrulata,50000,1136
Aloe arborescens,50000,977
Alopecurus aequalis,50000,37864
Alopecurus carolinianus,50000,535
Alopecurus magellanicus,50000,2618
Alphitonia ponderosa,50000,2
Alpinia mutica,50000,50
Alsinidendron lychnoides,50000,0
Alsinidendron obovatum,50000,0
Alsinidendron trinerve,50000,1
Alsinidendron viscosum,50000,0
Alternanthera sessilis,50000,17297
Alvaradoa amorphoides,50000,1255
Amaranthus tuberculatus,50000,1100
Amelanchier alnifolia,50000,5885
Amelanchier arborea,50000,1426
Amelanchier bartramiana,50000,1369
Amelanchier canadensis,50000,609
Amelanchier interior,50000,781
Amelanchier laevis,50000,1450
Amelanchier pallida,50000,63
Amelanchier sanguinea,50000,0
Amelanchier utahensis,50000,1570
Ammannia auriculata,50000,771
Ammannia robusta,50000,733
Amorpha californica,50000,215
Amorpha crenulata,50000,19
Amorpha ouachitensis,50000,21
Amphiscirpus nevadensis,50000,187
Amygdalus andersonii,50000,1
Amygdalus minutiflora,50000,0
Amygdalus texana,50000,0
Amyris balsamifera,50000,228
Amyris elemifera,50000,421
Anacamptis palustris,50000,5144
Andira inermis,50000,1737
Andromeda polifolia,50000,50000
Andropogon virginicus,50000,5340
Angelica atropurpurea,50000,897
Angelica sylvestris,50000,50000
Aniseia martinicensis,50000,1086
Anoectochilus sandvicensis,50000,12
Antidesma platyphyllum,50000,31
Apium graveolens,50000,10594
Aralia humilis,50000,346
Aralia spinosa,50000,1293
