species_to_remove,redlistCategory,synonym_of
Acacia amentacea,Least Concern,Vachellia rigidula
Agave simplex,Least Concern,Agave deserti
Celtis pallida,Least Concern,Celtis ehrenbergiana
Cornus obliqua,Least Concern,Cornus amomum
Crataegus collina,Least Concern,Crataegus punctata
Crataegus florifera,Least Concern,Crataegus succulenta
Cyanea fauriei,Vulnerable,Cyanea coriacea
Echinocereus santaritensis,Least Concern,Echinocereus coccineus
Fraxinus albicans,Near Threatened,Fraxinus americana
Isoetes acadiensis,Near Threatened,Isoetes tuckermanii
Nyssa biflora,Least Concern,Nyssa sylvatica
Opuntia ammophila,Least Concern,Opuntia humifusa
Opuntia austrina,Least Concern,Opuntia humifusa
Opuntia lata,Least Concern,Opuntia humifusa
Opuntia pollardii,Least Concern,Opuntia humifusa
Ostrya chisosensis,Critically Endangered,Ostrya knowltonii
Pediocactus despainii,Near Threatened,Pediocactus bradyi
Pediocactus winkleri,Least Concern,Pediocactus bradyi
Phaseolus ritensis,Least Concern,Phaseolus maculatus
Physalis latiphysa,Least Concern,Physalis pubescens
Potentilla palustris,Least Concern,Comarum palustre
Pritchardia lanaiensis,Endangered,Pritchardia glabrata
Prunus virginiana,Least Concern,Prunus serotina
Sclerocactus brevispinus,Critically Endangered,Sclerocactus glaucus
Sclerocactus nyensis,Endangered,Sclerocactus spinosior
Sclerocactus sileri,Vulnerable,Pediocactus sileri
Sclerocactus wetlandicus,Least Concern,Sclerocactus glaucus
Tilia caroliniana,Least Concern,Tilia americana
Zostera pacifica,Least Concern,Zostera marina
