scientificName,gbif_name,iucn_assessment_year,iucn_redlist_category,AOO.range,AOO_assessment,AOO_assessment_cat,EOO.range,EOO_assessment,EOO_assessment_cat,NOP,GBIF_points_in_NA,MER,AOOkm2,AOOcat,EOOkm2,EOOcat,EOOkm2_manual,EOO_manual_cat,EOOkm2_clipped,EOO_clipped_cat,NOP_old,MER_old,AOOkm2_old,AOOcat_old,EOOkm2_old,EOOcat_old,EOOkm2_manual_old,EOO_manual_old_cat,EOOkm2_clipped_old,EOO_clipped_old_cat,NOP_recent,MER_recent,AOOkm2_recent,AOOcat_recent,EOOkm2_recent,EOOcat_recent,EOOkm2_manual_recent,EOO_manual_recent_cat,EOOkm2_clipped_recent,EOO_clipped_recent_cat,overClassified,underClassified,correctlyClassified,5,8,"NA",11,7,2,1,9,4,6,3,10,12,Tree,Shrub,Succulent,Graminoid,Forb or Herb,Annual,Geophyte,Moss/Hydrophyte,Vines/Epiphyte/Lithophyte,Fern,EOOcat_long
Abies amabilis,Abies amabilis,2011,Least Concern,2000,2000,NT,100000,100000,LC,29,Yes,15336366.2219593,88,EN,5584003.75154178,LC,6282301.182175871,LC,2410548.2380158794,LC,17,218377.502317252,52,EN,116271.388327334,LC,113308.80349727476,LC,63871.308161973095,LC,12,15336366.2219593,44,EN,5584003.75154178,LC,6282301.182175871,LC,2410548.2380158794,LC,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Abies balsamea,Abies balsamea,2011,Least Concern,NA,NA,NA,NA,NA,NA,126,Yes,43773374.6082391,396,EN,17257738.198888,LC,24219326.298270788,LC,14965049.725066243,LC,28,37222449.3794129,96,EN,19404640.6757544,LC,20532774.709664635,LC,12848042.813620456,LC,98,21710187.8058839,312,EN,7674100.75976616,LC,7537185.532799466,LC,2773259.1616069316,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Abies concolor,Abies concolor,2011,Least Concern,NA,NA,NA,NA,NA,NA,427,Yes,74169164.3892411,1188,VU,34923567.6549593,LC,36051047.05621886,LC,21360824.122132204,LC,149,35966485.6360594,488,EN,16336040.1420352,LC,18157961.540739905,LC,11779011.835896619,LC,278,40393558.5372043,724,VU,16925476.2439244,LC,17301368.866211843,LC,7864113.107960952,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Abies fraseri,Abies fraseri,2011,Endangered,256,256,EN,11370,11370,VU,13,Yes,4358.10166371286,24,EN,819.233461745544,EN,821.2978776461387,EN,821.2978776461387,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4358.10166371286,24,EN,819.233461745544,EN,821.2978776461387,EN,821.2978776461387,EN,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Endangered
Abies grandis,Abies grandis,2011,Least Concern,NA,NA,NA,NA,NA,NA,3182,Yes,24357413.1778599,7900,LC,14794494.0081284,LC,15274243.966931611,LC,7509084.289016486,LC,1606,3107084.33430651,3956,LC,1995935.00450542,LC,1973315.8991729163,LC,1288201.353026599,LC,1576,23101209.0447617,4456,LC,14387888.5367463,LC,14685245.064081863,LC,7281276.802690202,LC,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Abies lasiocarpa,Abies lasiocarpa,2011,Least Concern,NA,NA,NA,NA,NA,NA,67,Yes,18439033.1897047,176,EN,15358983.772436,LC,13710055.55264813,LC,6896483.387530785,LC,10,13423492.5505216,36,EN,3328791.65914875,LC,3786816.808672798,LC,1414453.0292824903,LC,57,25221331.8758519,140,EN,13929708.7031142,LC,13389787.847390931,LC,6814094.335110049,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Abies magnifica,Abies magnifica,2011,Least Concern,NA,NA,NA,NA,NA,NA,6,Yes,107667.530779281,24,EN,20874.650031455,NT,19527.372620253125,VU,19527.372620253125,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,107667.530779281,24,EN,20874.650031455,NT,19527.372620253125,VU,19527.372620253125,VU,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Near Threatened
Abies procera,Abies procera,2011,Least Concern,NA,NA,NA,50000,50000,LC,998,Yes,20424174.6661555,2792,NT,11045335.0927794,LC,11958890.657929782,LC,4856815.876481309,LC,445,2715268.18044801,1276,VU,1712292.84402236,LC,1681640.108508995,LC,1090475.169973072,LC,553,18983035.5228714,1628,VU,9376157.48637697,LC,10286576.377239209,LC,4233880.731198981,LC,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Abutilon incanum,Abutilon incanum,2018,Least Concern,1008.00,1008,VU,8117301.66,8117301.66,LC,23,Yes,6315575.09034389,80,EN,2570915.95303591,LC,2647627.9283245504,LC,291941.51410782634,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,6315575.09034389,80,EN,2570915.95303591,LC,2647627.9283245504,LC,291941.51410782634,LC,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Least Concern
Acacia aneura,Acacia aneura,2010,Least Concern,NA,NA,NA,NA,NA,NA,4912,No,5316843.28995038,10912,LC,4049909.87409766,LC,4066706.6524934773,LC,4029012.008440167,LC,1705,5316843.28995038,4904,LC,4011209.30572759,LC,4024932.464824997,LC,3987237.8207716867,LC,3207,4858951.4244026,6140,LC,3220330.43664857,LC,3231916.4351440445,LC,3199087.2849833407,LC,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Least Concern
