scientificName,gbif_name,iucn_assessment_year,iucn_redlist_category,AOO.range,AOO_assessment,AOO_assessment_cat,EOO.range,EOO_assessment,EOO_assessment_cat,NOP,GBIF_points_in_NA,MER,AOOkm2,AOOcat,EOOkm2,EOOcat,EOOkm2_manual,EOO_manual_cat,EOOkm2_clipped,EOO_clipped_cat,NOP_old,MER_old,AOOkm2_old,AOOcat_old,EOOkm2_old,EOOcat_old,EOOkm2_manual_old,EOO_manual_old_cat,EOOkm2_clipped_old,EOO_clipped_old_cat,NOP_recent,MER_recent,AOOkm2_recent,AOOcat_recent,EOOkm2_recent,EOOcat_recent,EOOkm2_manual_recent,EOO_manual_recent_cat,EOOkm2_clipped_recent,EOO_clipped_recent_cat,overClassified,underClassified,correctlyClassified,redlistCriteria,B1_binary,B2_binary,5,8,NA,11,7,2,1,9,4,6,3,10,12,Tree,Shrub,Succulent,Graminoid,Forb or Herb,Annual,Geophyte,Moss/Hydrophyte,Vines/Epiphyte/Lithophyte,Fern,EOOcat_long
Abies fraseri,Abies fraseri,2011,Endangered,256,256,EN,11370,11370,VU,13,Yes,4358.10166371286,24,EN,819.233461745544,EN,821.2978776461387,EN,821.2978776461387,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4358.10166371286,24,EN,819.233461745544,EN,821.2978776461387,EN,821.2978776461387,EN,0,0,1,"B2ab(ii,iii,iv,v)",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Endangered
Agave albomarginata,Agave albomarginata,2018,Endangered,NA,NA,NA,2503-5002,2503,EN,115,Yes,524483.420518849,284,EN,159061.806276006,LC,169628.20595067646,LC,169628.20595067646,LC,1,0,4,CR,0,CR,0,CR,0,CR,114,524483.420518849,280,EN,159061.806276006,LC,169628.20595067646,LC,169628.20595067646,LC,0,1,0,"B1ab(iii,v)",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Least Concern
Agave mckelveyana,Agave mckelveyana,2018,Near Threatened,NA,NA,NA,10363,10363,VU,8,Yes,135578.365043796,16,EN,5904.62431251465,VU,6526.825069462182,VU,6526.825069462182,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,135578.365043796,16,EN,5904.62431251465,VU,6526.825069462182,VU,6526.825069462182,VU,1,0,0,"B1ab(i,ii,iii,v)",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Vulnerable
Aldrovanda vesiculosa,Aldrovanda vesiculosa,2019,Endangered,244,244,EN,114232825,114232825,LC,242,No,155025946.800312,344,EN,118848558.029306,LC,111978281.19708276,LC,63142989.23249917,LC,110,149892936.464425,192,EN,77165806.5237734,LC,78452236.37441571,LC,38971581.97230354,LC,132,136031310.739307,164,EN,105118522.322635,LC,97639409.55580308,LC,53248411.94311759,LC,0,1,0,"B2ab(iii,iv,v)",0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Least Concern
Alnus maritima,Alnus maritima,2014,Endangered,394,394,EN,400000,400000,LC,4,Yes,1252.06278957986,16,EN,392.174607491455,EN,393.2317131992604,EN,393.2317131992604,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1252.06278957986,16,EN,392.174607491455,EN,393.2317131992604,EN,393.2317131992604,EN,0,0,1,"B2ab(ii,iii,iv)",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Endangered
Argyroxiphium sandwicense,Argyroxiphium sandwicense,2003,Vulnerable,NA,NA,NA,NA,NA,NA,11,Yes,12883.1366899105,44,EN,3179.33319242263,EN,3164.459557598573,EN,1987.4762589645031,EN,6,9730.7590142163,24,EN,976.044222654991,EN,985.157060451922,EN,459.7933803832347,EN,5,8657.2984108574,20,EN,472.116701533569,EN,472.062804880552,EN,205.65121993073444,EN,1,0,0,D2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Endangered
Astrophytum asterias,Astrophytum asterias,2009,Vulnerable,NA,NA,NA,17000,17000,VU,21,Yes,0,4,CR,0,CR,0,CR,0,CR,21,0,4,CR,0,CR,0,CR,0,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,"B1ab(ii,iii,v)",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Critically Endangered
Baldellia ranunculoides,Baldellia ranunculoides,2013,Near Threatened,NA,NA,NA,NA,NA,NA,13773,No,9376491.44478181,14416,LC,5935376.79691127,LC,6055667.346200079,LC,2749403.8991830405,LC,9029,5015593.02766045,10696,LC,3383887.35287769,LC,3282302.806878954,LC,1998531.154685442,LC,4744,8770447.7508643,5784,LC,5744364.62400426,LC,5865665.543224959,LC,2678206.658829034,LC,0,1,0,NA,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Least Concern
Bidens amplissima,Bidens amplissima,2015,Near Threatened,NA,NA,NA,7200,7200,VU,5,Yes,247.894398187102,16,EN,71.4607736621017,CR,71.38256203796936,CR,28.043800169358292,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,247.894398187102,16,EN,71.4607736621017,CR,71.38256203796936,CR,28.043800169358292,CR,1,0,0,NA,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Critically Endangered
Bidens campylotheca,Bidens campylotheca,2003,Vulnerable,NA,NA,NA,NA,NA,NA,6,No,134625.058278354,24,EN,66747.9014286935,LC,66659.73534663755,LC,27595.10181015008,NT,4,108225.304687115,16,EN,52589.4925094113,LC,52619.26077131492,LC,20526.640721290365,NT,2,18444.1530882452,8,CR,0,CR,0,CR,0,CR,0,1,0,B1ab(iv),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Least Concern
