query_name,gbif_name,iucn_assessment_year,iucn_redlist_category,AOO.range,AOO_assessment,AOO_assessment_cat,EOO.range,EOO_assessment,EOO_assessment_cat,NOP,GBIF_points_in_NA,MER,AOOkm2,AOOcat,EOOkm2,EOOcat,EOOkm2_manual,EOO_manual_cat,EOOkm2_clipped,EOO_clipped_cat,NOP_old,MER_old,AOOkm2_old,AOOcat_old,EOOkm2_old,EOOcat_old,EOOkm2_manual_old,EOO_manual_old_cat,EOOkm2_clipped_old,EOO_clipped_old_cat,NOP_recent,MER_recent,AOOkm2_recent,AOOcat_recent,EOOkm2_recent,EOOcat_recent,EOOkm2_manual_recent,EOO_manual_recent_cat,EOOkm2_clipped_recent,EOO_clipped_recent_cat
Abies amabilis,Abies amabilis,2011,Least Concern,2000,2000,NT,100000,100000,LC,28,Yes,15336366.22,92,EN,5733744.167,LC,6422596.867,LC,2477349.67,LC,15,174998.1485,48,EN,97668.00078,LC,95229.78699,LC,61476.54247,LC,13,15336366.22,48,EN,5733744.167,LC,6422596.867,LC,2477349.67,LC
Abies balsamea,Abies balsamea,2011,Least Concern,NA,NA,NA,NA,NA,NA,93,Yes,38485000.23,304,EN,21409279.73,LC,22566163.22,LC,14232993.69,LC,19,28754641,76,EN,13895806.17,LC,15507184.66,LC,10940998.19,LC,74,20003989.75,236,EN,6987850.428,LC,6938353.765,LC,2653510.676,LC
Abies concolor,Abies concolor,2011,Least Concern,NA,NA,NA,NA,NA,NA,288,Yes,61330469.23,832,VU,27183900.04,LC,28874414.89,LC,17576434.16,LC,78,18883885.65,260,EN,10137895.19,LC,11048410.46,LC,10049283.7,LC,210,33044602.16,604,VU,12768431.87,LC,13236124.11,LC,5402617.039,LC
Abies fraseri,Abies fraseri,2011,Endangered,256,256,EN,11370,11370,VU,11,Yes,4358.101664,20,EN,788.5981506,EN,790.5646061,EN,790.5646061,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4358.101664,20,EN,788.5981506,EN,790.5646061,EN,790.5646061,EN
Abies grandis,Abies grandis,2011,Least Concern,NA,NA,NA,NA,NA,NA,2798,Yes,24357413.18,6916,LC,14794345.44,LC,15274096.56,LC,7508936.883,LC,1470,3107084.581,3564,LC,1951964.363,LC,1927812.993,LC,1270285.345,LC,1328,23096806.42,3828,LC,14387695.56,LC,14685051.29,LC,7281084.243,LC
Abies lasiocarpa,Abies lasiocarpa,2011,Least Concern,NA,NA,NA,NA,NA,NA,41,Yes,26237466.56,132,EN,10975101.12,LC,11651801.16,LC,6140690.44,LC,3,3918808.729,12,EN,7342.988057,VU,7777.732713,VU,2321.629403,EN,38,26196099.21,116,EN,10969813.85,LC,11646486.4,LC,6135375.679,LC
Abies magnifica,Abies magnifica,2011,Least Concern,NA,NA,NA,NA,NA,NA,5,Yes,2002230.194,20,EN,561672.6397,LC,581726.3144,LC,581726.3144,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2002230.194,20,EN,561672.6397,LC,581726.3144,LC,581726.3144,LC
Abies procera,Abies procera,2011,Least Concern,NA,NA,NA,50000,50000,LC,773,Yes,20424174.67,2172,NT,10208823.02,LC,11304130.45,LC,4340199.773,LC,387,2320906.772,1128,VU,1503136.206,LC,1473219.749,LC,966748.089,LC,386,18983035.52,1152,VU,8539645.414,LC,9631816.174,LC,3717264.627,LC
Abutilon incanum,Abutilon incanum,2018,Least Concern,1008,1008,VU,8117301.66,8117301.66,LC,26,Yes,606086.331,80,EN,274019.5169,LC,280071.4627,LC,201034.3715,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,606086.331,80,EN,274019.5169,LC,280071.4627,LC,201034.3715,LC
Acacia aneura,Acacia aneura,2010,Least Concern,NA,NA,NA,NA,NA,NA,4908,No,7100176.392,10828,LC,4914751.709,LC,4958022.068,LC,4675125.455,LC,1610,7100176.392,4824,LC,4680307.957,LC,4724579.644,LC,4443643.869,LC,3298,5256563.571,6252,LC,3372302.775,LC,3379448.461,LC,3346619.311,LC
Acacia auriculiformis,Acacia auriculiformis,2010,Least Concern,NA,NA,NA,NA,NA,NA,485,Yes,144237146.6,1072,VU,78081678.63,LC,108235356.6,LC,37816474.03,LC,73,89754858.12,264,EN,42847253.5,LC,43961919.16,LC,13313290.05,LC,412,207360581.7,800,VU,72669229.18,LC,77784172.56,LC,24730040.49,LC
Acacia confusa,Acacia confusa,2018,Least Concern,552,552,VU,73568.87,73568.87,LC,30,Yes,6106088.919,112,EN,2588164.142,LC,8131742.368,LC,4274804.068,LC,12,3795319.347,48,EN,1177004.621,LC,3074977.231,LC,2052708.969,LC,18,5748658.487,68,EN,2471618.179,LC,8131742.368,LC,4274804.068,LC
Acacia koa,Acacia koa,2010,Least Concern,NA,NA,NA,NA,NA,NA,7,Yes,149069.5062,28,EN,19151.01015,VU,18767.80786,VU,4559.860445,EN,3,126168.7614,12,EN,4012.807653,EN,3880.649163,EN,1022.088401,EN,4,148562.2603,16,EN,12913.95048,VU,12678.99,VU,3249.421952,EN
Acaciella angustissima,Acaciella angustissima,2018,Least Concern,8748,8748,LC,15695848.45,15695848.45,LC,116,Yes,134593043.3,316,EN,77900263.34,LC,93269430.26,LC,34626682.64,LC,24,119375221,56,EN,60350843.14,LC,77382938.07,LC,29109690,LC,92,86658393.72,256,EN,31537022.92,LC,42027381.16,LC,13819254.19,LC
Acer floridanum,Acer barbatum,2017,Least Concern,NA,NA,NA,NA,NA,NA,47,Yes,1372312.459,148,EN,922817.5401,LC,925723.531,LC,899235.8786,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1372312.459,148,EN,922817.5401,LC,925723.531,LC,899235.8786,LC
Acer circinatum,Acer circinatum,2017,Least Concern,NA,NA,NA,318000,318000,LC,215,Yes,12572161.04,600,VU,4969385.144,LC,4610012.117,LC,3403392.165,LC,7,52918.78757,24,EN,23808.66603,NT,24500.79306,NT,13619.77822,VU,208,12572161.04,572,VU,4969385.144,LC,4609244.922,LC,3402876.341,LC
Acer glabrum,Acer glabrum,2017,Least Concern,NA,NA,NA,NA,NA,NA,110,Yes,6259490.502,388,EN,2771917.791,LC,2570195.756,LC,2450398.935,LC,7,1255009.688,28,EN,847848.3253,LC,837842.4298,LC,837842.4298,LC,103,6259490.502,360,EN,2763878.451,LC,2558719.519,LC,2438922.697,LC
Acer grandidentatum,Acer grandidentatum,2017,Least Concern,NA,NA,NA,NA,NA,NA,92,Yes,2825039.697,208,EN,1191164.762,LC,1269640.567,LC,1269640.567,LC,6,1033587.958,24,EN,110674.8768,LC,131668.275,LC,131668.275,LC,86,2816587.981,184,EN,1188863.165,LC,1267698.83,LC,1267698.83,LC
Acer leucoderme,Acer leucoderme,2017,Least Concern,NA,NA,NA,NA,NA,NA,6,Yes,308211.507,24,EN,137798.5604,LC,137752.0889,LC,137752.0889,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,308211.507,24,EN,137798.5604,LC,137752.0889,LC,137752.0889,LC
Acer macrophyllum,Acer macrophyllum,2017,Least Concern,NA,NA,NA,NA,NA,NA,888,Yes,27971485.64,2160,NT,14081582.96,LC,13582128.58,LC,8348731.789,LC,17,25588128.26,68,EN,12858629.13,LC,12432661.3,LC,7568345.656,LC,871,27396541.66,2084,NT,12961325.66,LC,12099476.65,LC,7930735.944,LC
Acer negundo,Acer negundo,2017,Least Concern,NA,NA,NA,NA,NA,NA,18117,Yes,339673997.3,20468,LC,281393543.2,LC,253293285,LC,111060070.6,LC,7791,284018100.6,8988,LC,145952188.9,LC,139518572,LC,70476168.71,LC,10326,339673997.3,14168,LC,281393543.2,LC,253293285,LC,111060070.6,LC
Acer nigrum,Acer nigrum,2017,Least Concern,NA,NA,NA,NA,NA,NA,103,Yes,1938027.175,236,EN,944440.1076,LC,940540.1284,LC,940540.1284,LC,2,0,4,CR,0,CR,0,CR,0,CR,101,1938027.175,236,EN,944440.1076,LC,940540.1284,LC,940540.1284,LC
Acer pensylvanicum,Acer pensylvanicum,2017,Least Concern,NA,NA,NA,NA,NA,NA,663,Yes,13443662.76,1924,VU,5189937.967,LC,4688288.508,LC,1661406.933,LC,18,2488025.663,56,EN,1136448.261,LC,1088457.204,LC,981391.3977,LC,645,13443662.76,1924,VU,5189937.967,LC,4688288.508,LC,1661406.933,LC
Acer platanoides,Acer platanoides,2017,Least Concern,NA,NA,NA,6000000,6000000,LC,36066,Yes,340160315.7,63932,LC,127241207.3,LC,120611718.2,LC,54323664.73,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36066,340160315.7,63932,LC,127241207.3,LC,120611718.2,LC,54323664.73,LC
Acer rubrum,Acer rubrum,2017,Least Concern,NA,NA,NA,NA,NA,NA,2009,Yes,54019207.4,5504,LC,29837213.49,LC,29418226.03,LC,12238142.62,LC,80,26190021.62,252,EN,13219492.44,LC,12775920.85,LC,4332902.164,LC,1929,54019207.4,5244,LC,29837213.49,LC,29418226.03,LC,12238142.62,LC
Acer saccharinum,Acer saccharinum,2017,Least Concern,NA,NA,NA,NA,NA,NA,1657,Yes,46607000.58,4356,LC,27383594.41,LC,27815548,LC,15150524.44,LC,569,22647714.56,1372,VU,11000832.13,LC,11313662.05,LC,3814913.121,LC,1088,45681171.29,3108,LC,26900846.44,LC,27262436.33,LC,14691828.37,LC
Acer saccharum,Acer saccharum,2017,Least Concern,NA,NA,NA,NA,NA,NA,1716,Yes,43544779.43,3876,LC,24675557.45,LC,24033377.55,LC,8303295.008,LC,68,14698897.67,188,EN,6317533.157,LC,5920993.788,LC,2349022.661,LC,1648,43544779.43,3748,LC,24675557.45,LC,24033377.55,LC,8303295.008,LC
Acer spicatum,Acer spicatum,2017,Least Concern,NA,NA,NA,NA,NA,NA,280,Yes,5930135.093,892,VU,3209458.963,LC,3103922.662,LC,2830158.648,LC,13,2034747.549,40,EN,918237.1498,LC,856395.1457,LC,856395.1457,LC,267,5930135.093,836,VU,3209458.963,LC,3103922.662,LC,2830158.648,LC
Acorus calamus,Acorus calamus,2013,Least Concern,NA,NA,NA,NA,NA,NA,25735,Yes,125764203.8,28060,LC,76653265.32,LC,72872792.13,LC,49648183.73,LC,20232,51867032.09,23036,LC,33814047.54,LC,32867028.12,LC,24812190.54,LC,5503,123753078.8,9664,LC,65567109.39,LC,63070700.94,LC,40316536.56,LC
Acrostichum aureum,Acrostichum aureum,2008,Least Concern,NA,NA,NA,NA,NA,NA,94,Yes,165213782.2,288,EN,136317860.9,LC,133801564.5,LC,43163187.83,LC,47,187268709.9,164,EN,104668653.2,LC,86288890.32,LC,26986709.09,LC,47,126598204,120,EN,103282746.7,LC,102239406.7,LC,38328954.56,LC
Adenostemma viscosum,Adenostemma viscosum,2019,Least Concern,NA,NA,NA,129000000,129000000,LC,35,No,7778831.641,88,EN,2779380.199,LC,2813047.693,LC,2504803.509,LC,23,4217941.633,80,EN,1277026.887,LC,1292154.322,LC,1159061.579,LC,12,0,4,CR,0,CR,0,CR,0,CR
Adenostoma sparsifolium,Adenostoma sparsifolium,2019,Least Concern,1012-4150,1012,VU,158370,158370,LC,213,Yes,121451.9324,456,EN,37904.44686,LC,37303.61842,LC,34700.57108,LC,2,0,4,CR,0,CR,0,CR,0,CR,211,121451.9324,440,EN,37904.44686,LC,37303.61842,LC,34700.57108,LC
Adiantum capillus-veneris,Adiantum capillus-veneris,2018,Least Concern,NA,NA,NA,NA,NA,NA,7712,Yes,364051336,10676,LC,227807176,LC,219700362.8,LC,84632433.3,LC,4834,271192830.6,6136,LC,142299164.3,LC,143902232.1,LC,60335234.2,LC,2878,382755753.6,6352,LC,314174735.2,LC,218186119.3,LC,83726928.9,LC
Aegilops ventricosa,Aegilops ventricosa,2017,Least Concern,336,336,EN,3314369,3314369,LC,201,No,1414139.241,428,EN,613419.4966,LC,632664.9376,LC,510520.4309,LC,108,1382788.88,232,EN,520016.9137,LC,534831.3276,LC,485768.6628,LC,93,461680.5563,216,EN,242870.7274,LC,241741.6471,LC,119597.1404,LC
Aeschynomene indica,Aeschynomene indica,2018,Least Concern,NA,NA,NA,NA,NA,NA,995,Yes,200018059.5,2580,NT,102494466.8,LC,100513020.5,LC,47430477.31,LC,744,133655414.2,2040,NT,69155280.56,LC,68563377.46,LC,32193817.05,LC,251,222981110.6,552,VU,120740298.1,LC,99343211.67,LC,46977294.06,LC
Aesculus californica,Aesculus californica,2018,Least Concern,4212,4212,LC,2397483.37,2397483.37,LC,1313,Yes,19486127.17,2628,NT,4844173.55,LC,4415477.761,LC,2966563.095,LC,10,28548.14306,40,EN,14132.11418,VU,14184.22023,VU,14184.22023,VU,1303,19486127.17,2572,NT,4844173.55,LC,4415477.761,LC,2966563.095,LC
Aesculus flava,Aesculus flava,2018,Least Concern,NA,NA,NA,NA,NA,NA,141,Yes,23214227.01,392,EN,9995594.243,LC,9879766.969,LC,2550141.666,LC,33,20686568.24,80,EN,5012983.397,LC,5379422.545,LC,1180197.863,LC,108,22710378.33,312,EN,9934910.377,LC,9819215.765,LC,2489603.165,LC
Aesculus glabra,Aesculus glabra,2018,Least Concern,NA,NA,NA,NA,NA,NA,230,Yes,27156535.56,688,VU,11630526.97,LC,10912856.86,LC,6644563.761,LC,12,2313379.028,36,EN,949203.9616,LC,919244.2283,LC,919244.2283,LC,218,27156535.56,664,VU,11630526.97,LC,10912856.86,LC,6644563.761,LC
Aesculus parviflora,Aesculus parviflora,2018,Least Concern,240,240,EN,1158755.32,1158755.32,LC,109,Yes,21062359.85,216,EN,8314373.189,LC,8533497.27,LC,2346013.066,LC,11,16733124.19,36,EN,2521838.719,LC,2868909.617,LC,625461.7678,LC,98,21062359.85,184,EN,8314373.189,LC,8533497.27,LC,2346013.066,LC
Aesculus pavia,Aesculus pavia,2018,Least Concern,1904,1904,VU,4219433.56,4219433.56,LC,468,Yes,31672114.35,1272,VU,14720010.49,LC,14842212.13,LC,5004309.624,LC,41,20897285.25,116,EN,5856874.94,LC,5892496.856,LC,1532440.504,LC,427,31672114.35,1168,VU,14720010.49,LC,14842212.13,LC,5004309.624,LC
Aesculus sylvatica,Aesculus sylvatica,2018,Least Concern,268,268,EN,645216.39,645216.39,LC,98,Yes,225827.7985,220,EN,117916.2249,LC,118012.4351,LC,118012.4351,LC,1,0,4,CR,0,CR,0,CR,0,CR,97,214043.7713,216,EN,89418.48893,LC,89567.26798,LC,89567.26798,LC
Agave albomarginata,Agave albomarginata,2018,Endangered,NA,NA,NA,2503-5002,2503,EN,12,Yes,524619.7624,44,EN,153403.7348,LC,162517.4305,LC,162517.4305,LC,2,57678.58296,8,CR,0,CR,0,CR,0,CR,10,301507.9578,36,EN,77118.56937,LC,85673.83852,LC,85673.83852,LC
Agave americana,Agave americana,2018,Least Concern,NA,NA,NA,NA,NA,NA,7138,Yes,359832762.6,14504,LC,217646127.2,LC,215179276.5,LC,79878779.96,LC,1717,269026239.4,3408,LC,113957297.5,LC,114937369.6,LC,43665003.59,LC,5421,359832762.6,11860,LC,217646127.2,LC,215179276.5,LC,79878779.96,LC
Agave applanata,Agave applanata,2018,Least Concern,NA,NA,NA,44652,44652,LC,35,Yes,1192849.94,116,EN,141564.7937,LC,155339.2612,LC,155339.2612,LC,3,1144253.814,12,EN,30900.16801,LC,58820.00531,LC,58820.00531,LC,32,213672.4,104,EN,63862.75005,LC,62688.86182,LC,62688.86182,LC
Agave chrysantha,Agave chrysantha,2018,Least Concern,NA,NA,NA,NA,NA,NA,35,Yes,78770.12761,96,EN,22095.12059,NT,21465.02683,NT,21465.02683,NT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,78770.12761,96,EN,22095.12059,NT,21465.02683,NT,21465.02683,NT
Agave deserti,Agave deserti,2018,Least Concern,NA,NA,NA,NA,NA,NA,295,Yes,363855.7062,548,VU,221904.1751,LC,222084.8483,LC,183638.4061,LC,5,88685.18511,20,EN,51381.31895,LC,51562.0928,LC,51562.0928,LC,290,363855.7062,536,VU,211461.8756,LC,211825.6597,LC,173379.2174,LC
Agave lechuguilla,Agave lechuguilla,2018,Least Concern,NA,NA,NA,NA,NA,NA,218,Yes,1118520.384,676,VU,474605.3033,LC,478603.5113,LC,478603.5113,LC,26,983778.3667,60,EN,297521.4847,LC,269116.6778,LC,269116.6778,LC,192,987572.941,624,VU,437304.3904,LC,441496.0717,LC,441496.0717,LC
Agave mckelveyana,Agave mckelveyana,2018,Near Threatened,NA,NA,NA,10363,10363,VU,9,Yes,135578.365,20,EN,10280.90217,VU,9863.502095,VU,9863.502095,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,135578.365,20,EN,10280.90217,VU,9863.502095,VU,9863.502095,VU
Agave palmeri,Agave palmeri,2018,Least Concern,NA,NA,NA,310608,310608,LC,214,Yes,115999.0245,424,EN,62926.23593,LC,63040.08556,LC,63040.08556,LC,4,6441.349073,12,EN,519.5398813,EN,519.198144,EN,519.198144,EN,210,115999.0245,396,EN,62926.23593,LC,63040.08556,LC,63040.08556,LC
Agave parryi,Agave parryi,2018,Least Concern,NA,NA,NA,NA,NA,NA,144,Yes,38787642.26,392,EN,11493145.68,LC,10373168.56,LC,3698175.603,LC,6,190129.9997,24,EN,96381.05243,LC,96164.43201,LC,96164.43201,LC,138,38787642.26,372,EN,11493145.68,LC,10373168.56,LC,3698175.603,LC
Agave parviflora,Agave parviflora,2020,Least Concern,NA,NA,NA,NA,NA,NA,9,Yes,84875.55804,36,EN,23796.06236,NT,23580.20749,NT,23580.20749,NT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,84875.55804,36,EN,23796.06236,NT,23580.20749,NT,23580.20749,NT
Agave schottii,Agave schottii,2018,Least Concern,NA,NA,NA,NA,NA,NA,23,Yes,24193.17913,76,EN,9458.757367,VU,9489.541891,VU,9489.541891,VU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,24193.17913,76,EN,9458.757367,VU,9489.541891,VU,9489.541891,VU
Agave shawii,Agave shawii,2018,Least Concern,NA,NA,NA,NA,NA,NA,130,Yes,617591.6458,196,EN,148126.7804,LC,158594.1795,LC,105573.2782,LC,5,598441.3523,20,EN,63456.71913,LC,69909.8836,LC,48531.52265,LC,125,179853.8938,188,EN,35051.60326,LC,37500.96825,LC,35704.91161,LC
Agave toumeyana,Agave toumeyana,2018,Least Concern,NA,NA,NA,15512,15512,VU,8,Yes,2833.4453,28,EN,1269.834192,EN,1270.868554,EN,1270.868554,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2833.4453,28,EN,1269.834192,EN,1270.868554,EN,1270.868554,EN
Agave univittata,Agave univittata,2018,Least Concern,NA,NA,NA,NA,NA,NA,24,Yes,87349.6365,84,EN,46265.06576,LC,47625.3467,LC,47625.3467,LC,1,0,4,CR,0,CR,0,CR,0,CR,23,87349.6365,80,EN,46265.06576,LC,47625.3467,LC,47625.3467,LC
Agave utahensis,Agave utahensis,2019,Least Concern,NA,NA,NA,NA,NA,NA,171,Yes,97009.50375,336,EN,65759.72013,LC,65963.6158,LC,65963.6158,LC,6,10133.34007,24,EN,2613.433887,EN,2623.727654,EN,2623.727654,EN,165,97009.50375,304,EN,65759.72013,LC,65963.6158,LC,65963.6158,LC
Agrostis canina,Agrostis canina,2013,Least Concern,NA,NA,NA,NA,NA,NA,35465,No,14338891.97,48040,LC,8088019.431,LC,7854383.852,LC,5809104.776,LC,1722,7552074.555,3040,LC,4633832.638,LC,4528737.721,LC,3393913.798,LC,33743,14338891.97,47008,LC,8088019.431,LC,7854383.852,LC,5809104.776,LC
Agrostis clavata,Agrostis clavata,2015,Least Concern,NA,NA,NA,NA,NA,NA,407,No,47693546.62,1048,VU,18812754.94,LC,17480977.16,LC,15285267.24,LC,358,47543643.57,908,VU,18393120.08,LC,16814931.83,LC,15068284.67,LC,49,29777217.93,140,EN,4181706.883,LC,3958369.369,LC,3475264.257,LC
